Year,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2010,Comoros,<10000,"720,000",<10000,<10000,<10000,<10000,<10000,<10000,"730,000"
2010,Republic of the Congo,"3,470,000","50,000","360,000",<10000,<10000,"110,000","40,000",<10000,"4,040,000"
2010,Democratic Republic of the Congo,"63,210,000","970,000","1,170,000","30,000",<10000,"490,000","100,000",<10000,"65,970,000"
2010,Cook Islands,"20,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"20,000"
2010,Costa Rica,"4,230,000",<10000,"370,000",<10000,<10000,"40,000","10,000",<10000,"4,660,000"
2010,Ivory Coast,"8,710,000","7,390,000","1,570,000",<10000,<10000,"2,020,000","30,000",<10000,"19,740,000"
2010,Croatia,"4,110,000","60,000","230,000",<10000,<10000,<10000,<10000,<10000,"4,400,000"
2010,Cuba,"6,670,000",<10000,"2,590,000","20,000",<10000,"1,960,000",<10000,<10000,"11,260,000"
2010,Cyprus,"810,000","280,000","10,000",<10000,<10000,<10000,<10000,<10000,"1,100,000"
2010,Czech Republic,"2,450,000",<10000,"8,020,000",<10000,<10000,<10000,<10000,<10000,"10,490,000"
2010,Denmark,"4,630,000","230,000","650,000","20,000","10,000",<10000,<10000,<10000,"5,550,000"
2010,Djibouti,"20,000","860,000",<10000,<10000,<10000,<10000,<10000,<10000,"890,000"
2010,Dominica,"70,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"70,000"
2010,Dominican Republic,"8,740,000",<10000,"1,080,000",<10000,<10000,"90,000","10,000",<10000,"9,930,000"
2010,Ecuador,"13,610,000",<10000,"800,000",<10000,<10000,"40,000",<10000,<10000,"14,460,000"
2010,Egypt,"4,120,000","76,990,000",<10000,<10000,<10000,<10000,<10000,<10000,"81,120,000"
2010,El Salvador,"5,460,000",<10000,"680,000",<10000,<10000,"30,000","20,000",<10000,"6,190,000"
2010,Equatorial Guinea,"620,000","30,000","30,000",<10000,<10000,"10,000",<10000,<10000,"700,000"
2010,Eritrea,"3,310,000","1,920,000",<10000,<10000,<10000,"20,000",<10000,<10000,"5,250,000"
2010,Estonia,"540,000",<10000,"800,000",<10000,<10000,<10000,<10000,<10000,"1,340,000"
2010,Ethiopia,"52,070,000","28,680,000","50,000",<10000,<10000,"2,130,000",<10000,<10000,"82,950,000"
2010,Faeroe Islands,"50,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"50,000"
2010,Falkland Islands (Malvinas),<10000,<10000,<10000,<10000,<10000,<10000,<10000,<10000,<10000
2010,Fiji,"550,000","50,000",<10000,"240,000",<10000,<10000,<10000,<10000,"860,000"
2010,Finland,"4,300,000","40,000","1,020,000",<10000,<10000,<10000,<10000,<10000,"5,360,000"
2010,France,"39,560,000","4,710,000","17,580,000","30,000","280,000","220,000","100,000","310,000","62,790,000"
2010,French Guiana,"200,000",<10000,<10000,<10000,<10000,"20,000",<10000,<10000,"230,000"
2010,French Polynesia,"250,000",<10000,"10,000",<10000,<10000,<10000,<10000,<10000,"270,000"
2010,Gabon,"1,150,000","170,000","80,000",<10000,<10000,"90,000",<10000,<10000,"1,510,000"
2010,Gambia,"80,000","1,640,000",<10000,<10000,<10000,<10000,<10000,<10000,"1,730,000"
2010,Georgia,"3,850,000","470,000","30,000",<10000,<10000,<10000,<10000,<10000,"4,350,000"
2010,Germany,"56,540,000","4,760,000","20,350,000","80,000","210,000","40,000","100,000","230,000","82,300,000"
2010,Ghana,"18,260,000","3,860,000","1,020,000",<10000,<10000,"1,200,000","40,000",<10000,"24,390,000"
2010,Gibraltar,"30,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"30,000"
2010,Greece,"10,010,000","610,000","700,000","20,000",<10000,"10,000",<10000,<10000,"11,360,000"
2010,Greenland,"50,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"60,000"
2010,Grenada,"100,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"100,000"
2010,Guadeloupe,"440,000",<10000,"10,000",<10000,<10000,<10000,<10000,<10000,"460,000"
2010,Guam,"170,000",<10000,<10000,<10000,<10000,<10000,<10000,<10000,"180,000"
2010,Guatemala,"13,690,000",<10000,"590,000",<10000,<10000,"80,000","10,000",<10000,"14,390,000"
2010,Guinea,"1,090,000","8,430,000","180,000",<10000,<10000,"270,000",<10000,<10000,"9,980,000"
2010,Guinea-Bissau,"300,000","680,000","70,000",<10000,<10000,"470,000",<10000,<10000,"1,520,000"
2010,Guyana,"500,000","50,000","10,000","190,000",<10000,<10000,<10000,<10000,"750,000"
2010,Haiti,"8,690,000",<10000,"1,060,000",<10000,<10000,"220,000","30,000",<10000,"9,990,000"
